 ,WHERE,INT,ON,DEFAULT,SET,DELETE,INSERT,AVG,<=,<,ALL,JOIN,",",UNKNOWN,SUM,INTO,IDN,NULL,RIGHT,ORDER,TRUE,NOT,),(,VALUE,!=,FLOAT,>=,*,.,IS,<=>,UPDATE,UNION,FALSE,&&,LEFT,SELECT,FROM,XOR,MAX,=,MIN,OR,AND,HAVING,>,-,GROUP,!,AS,STRING,VALUES,DISTINCT,||,#
nullValue, , , , , , , , , , , , , , , , , ,nullValue->NULL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
trueValue, , , , , , , , , , , , , ,trueValue->UNKNOWN, , , , , , ,trueValue->TRUE, , , , , , , , , , , , , ,trueValue->FALSE, , , , , , , , , , , , , , , , , , , , , 
predicate, ,predicate->expressionAtom predicateRight, , , , , ,predicate->expressionAtom predicateRight, , , , , , ,predicate->expressionAtom predicateRight, ,predicate->expressionAtom predicateRight, , , ,predicate->expressionAtom predicateRight, , , , , ,predicate->expressionAtom predicateRight, , , , , , , ,predicate->expressionAtom predicateRight, , , , , ,predicate->expressionAtom predicateRight, ,predicate->expressionAtom predicateRight, , , , ,predicate->expressionAtom predicateRight, , , ,predicate->expressionAtom predicateRight, , , , 
predicateRight,predicateRight->$, , , , , , , ,predicateRight->comparisonOperator predicate,predicateRight->comparisonOperator predicate, ,predicateRight->$,predicateRight->$, , , , , ,predicateRight->$,predicateRight->$, , ,predicateRight->$, , ,predicateRight->comparisonOperator predicate, ,predicateRight->comparisonOperator predicate, , ,predicateRight->$,predicateRight->comparisonOperator predicate, ,predicateRight->$, ,predicateRight->$,predicateRight->$, , ,predicateRight->$, ,predicateRight->comparisonOperator predicate, ,predicateRight->$,predicateRight->$,predicateRight->$,predicateRight->comparisonOperator predicate, ,predicateRight->$, , , , , ,predicateRight->$,predicateRight->$
expressionAtom, ,expressionAtom->constant, , , , , ,expressionAtom->functionCall, , , , , , ,expressionAtom->functionCall, ,expressionAtom->fullColumnName, , , ,expressionAtom->constant, , , , , ,expressionAtom->constant, , , , , , , ,expressionAtom->constant, , , , , ,expressionAtom->functionCall, ,expressionAtom->functionCall, , , , ,expressionAtom->constant, , , ,expressionAtom->constant, , , , 
nullNotnull, , , , , , , , , , , , , , , , , , , , , ,nullNotnull->oppositeOrNot NULL, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
constant, ,constant->decimalLiteral, , , , , , , , , , , , , , , , , , ,constant->booleanLiteral, , , , , ,constant->decimalLiteral, , , , , , , ,constant->booleanLiteral, , , , , , , , , , , , ,constant->- decimalLiteral, , , ,constant->stringLiteral, , , , 
decimalLiteral, ,decimalLiteral->INT, , , , , , , , , , , , , , , , , , , , , , , , ,decimalLiteral->FLOAT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
comparisonOperator, , , , , , , , ,comparisonOperator-><=,comparisonOperator-><, , , , , , , , , , , , , , , ,comparisonOperator->!=, ,comparisonOperator->>=, , , ,comparisonOperator-><=>, , , , , , , , , ,comparisonOperator->=, , , , ,comparisonOperator->>, , , , , , , , , 
logicalOperator, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,logicalOperator->&&, , , ,logicalOperator->XOR, , , ,logicalOperator->OR,logicalOperator->AND, , , , , , , , , ,logicalOperator->||, 
stringLiteral, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,stringLiteral->STRING, , , , 
booleanLiteral, , , , , , , , , , , , , , , , , , , , ,booleanLiteral->TRUE, , , , , , , , , , , , , ,booleanLiteral->FALSE, , , , , , , , , , , , , , , , , , , , , 
functionCall, , , , , , , ,functionCall->aggregateWindowedFunction, , , , , , ,functionCall->aggregateWindowedFunction, , , , , , , , , , , , , , , , , , , , , , , , , ,functionCall->aggregateWindowedFunction, ,functionCall->aggregateWindowedFunction, , , , , , , , , , , , , 
aggregateWindowedFunction, , , , , , , ,aggregateWindowedFunction->function ( unionType fullColumnName ), , , , , , ,aggregateWindowedFunction->function ( unionType fullColumnName ), , , , , , , , , , , , , , , , , , , , , , , , , ,aggregateWindowedFunction->function ( unionType fullColumnName ), ,aggregateWindowedFunction->function ( unionType fullColumnName ), , , , , , , , , , , , , 
function, , , , , , , ,function->AVG, , , , , , ,function->SUM, , , , , , , , , , , , , , , , , , , , , , , , , ,function->MAX, ,function->MIN, , , , , , , , , , , , , 
joinPart, , , , , , , , , , , ,joinPart->JOIN tableSourceItem joinRightPart, , , , , , ,joinPart->joinDirection JOIN tableSourceItem ON expression, , , , , , , , , , , , , , , , , ,joinPart->joinDirection JOIN tableSourceItem ON expression, , , , , , , , , , , , , , , , , , , 
joinRightPart,joinRightPart->$, ,joinRightPart->ON expression, , , , , , , , ,joinRightPart->$,joinRightPart->$, , , , , ,joinRightPart->$,joinRightPart->$, , ,joinRightPart->$, , , , , , , , , , ,joinRightPart->$, , ,joinRightPart->$, , , , , , , , ,joinRightPart->$, , ,joinRightPart->$, , , , , , ,joinRightPart->$
joinDirection, , , , , , , , , , , , , , , , , , ,joinDirection->RIGHT, , , , , , , , , , , , , , , , , ,joinDirection->LEFT, , , , , , , , , , , , , , , , , , , 
insertStatement, , , , , , ,insertStatement->insertKeyword tableName insertStatementRight, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
insertStatementRight, , , , , , , , , , , , , , , , , , , , , , , ,insertStatementRight->( uidList ) insertStatementValue,insertStatementRight->insertStatementValue, , , , , , , , , , , , , , , , , , , , , , , , , , , ,insertStatementRight->insertStatementValue, , , 
insertKeyword, , , , , , ,insertKeyword->INSERT into, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
into, , , , , , , , , , , , , , , ,into->INTO,into->$, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
